genes,NK_58,NK_59,NK_60,NK_61,NK_62,NK_63,NK_64,NK_65,NK_66,NK_70,NK_71,NK_72,NK_73,NK_74,NK_75,NK_76,NK_77,NK_78,NK_82,NK_83,NK_84,NK_85,NK_86,NK_87,NK_88,NK_89,NK_90
IKBKE,253.5819065,353.9539831,343.3428238,334.084213,431.3675971,307.7130886,234.9231374,333.7689641,316.3443459,180.9329057,344.1877641,176.1660365,400.7164707,422.2006531,221.6709643,174.2664456,336.0984316,320.9929942,251.6913805,336.8143977,311.6662229,501.4072339,559.5084075,306.3886406,280.1861825,567.614644,384.2008765
IKBKG,301.8025112,335.3746887,407.4942805,373.4866848,375.910916,312.9202039,358.2736174,419.0242708,452.0200636,374.3095378,310.3920938,416.9206442,355.7233828,357.5038579,348.9675311,301.5354892,329.9420852,423.1815736,328.3038823,340.6161428,349.9485451,480.0181013,504.8339065,394.5619432,463.6020064,506.1818613,424.4485864
IKZF1,3460.872314,5641.292394,4099.806203,4841.102751,5853.971473,4028.759584,3408.260754,5368.599247,5729.088863,3582.025767,5514.139306,3628.053462,5581.317489,5693.223414,4053.296507,4473.660311,5819.421384,5958.898672,4049.224733,5156.155293,4311.876076,4955.414422,5176.100809,5222.156579,5119.190575,5046.613901,5897.468123
IKZF2,38.1770838,27.38120437,55.27775042,30.58058287,29.4000968,39.84240969,46.62390701,23.45908763,29.20636687,47.80494649,36.82837917,67.425808,33.4768064,36.9803763,50.1062964,51.10933801,43.0371608,57.40135945,66.4206069,43.60207837,76.74867826,37.1868077,26.00133873,59.38081544,66.83426329,34.36966775,56.5056412
IKZF3,753.4244281,716.9690341,943.2504022,433.9072856,744.2657311,974.2505293,733.4450132,411.8867767,875.4700413,587.7700347,1024.376254,515.8375548,669.9617871,800.2084206,732.3791959,853.7867718,814.6773567,1163.076277,592.0265229,465.9405239,693.3495232,415.2775295,434.2578144,896.7941146,676.5416765,329.0472604,615.3963173
IKZF4,208.2699664,56.7198967,289.9113489,63.04438593,67.19993815,236.1344952,180.6220231,58.98679015,71.25513102,159.0165373,82.535221,178.6949434,81.84906324,69.45973493,179.7083956,176.1798354,67.78034148,64.45114126,160.4993896,106.1286234,233.5097533,106.5559984,98.79608719,178.9045166,179.9882603,102.2067026,89.45151428
IKZF5,170.5001266,184.0431189,162.1036764,170.9729167,197.9774083,180.9222459,165.5025918,173.1264087,203.0413843,129.5599494,168.3284239,190.5683866,152.3275414,151.1446392,140.664552,174.7035362,138.3336185,127.9667333,163.2074382,167.2683873,144.2360517,163.2322149,121.3295371,168.6057585,165.7478102,136.8502253,169.7627357
IL10,3.98323059,4.322802728,3.954022279,1.783491327,2.221267281,7.718299355,6.331840876,2.622678561,3.08601698,3.922648325,4.222911463,4.234424775,3.431606192,4.675157603,3.901170358,4.024066091,6.956275158,6.961894733,19.94441635,5.623791079,14.57298994,5.333638329,10.91238088,24.0273061,16.09483632,6.542595147,8.352974304
IL10RA,1057.747822,862.4099423,1134.758831,639.757347,948.5736613,1111.082324,966.1189389,735.814859,966.7151225,1223.272412,896.6225666,1140.839402,921.5387365,863.4046186,1176.00624,907.6032721,827.9919895,969.5980587,986.7952767,923.4903016,1101.000951,880.8704215,1067.980803,1171.978185,1200.86645,948.720953,1187.951317
IL10RB,305.8202228,365.4066299,304.7756852,352.4625095,408.1829185,330.5679395,298.6375981,362.3984564,431.4931959,412.46646,456.4936558,436.2988921,522.1831157,533.6200261,407.5349559,411.6304791,577.3210424,561.5283298,344.3507478,467.1163069,377.8738833,390.1248264,417.1440913,421.0591191,403.5696858,457.0775023,499.5550989
